mdp_seed,epsilon,sarsop_gap,solver_stop_reason,solver_elapsed_seconds,target_precision,acceptance_threshold
989491727,0.01,0.014637826426983747,max_time,605.0910539627075,0.01,0.5
989491727,0.02,0.01610896760595848,max_time,605.8847250938416,0.01,0.5
989491727,0.03,0.016908932327963644,max_time,604.9390909671783,0.01,0.5
989491727,0.04,0.02234057421684188,max_time,600.6494748592377,0.01,0.5
989491727,0.05,0.028936117547809115,max_time,600.2934799194336,0.01,0.5
989491727,0.06,0.03114759794625588,max_time,601.8569149971008,0.01,0.5
989491727,0.07,0.027723996355106806,max_time,607.0678100585938,0.01,0.5
989491727,0.08,0.023678650937538404,max_time,601.5968902111053,0.01,0.5
989491727,0.09,0.02643557941810082,max_time,605.6330318450928,0.01,0.5
989491727,0.1,0.025781126852145064,max_time,600.943165063858,0.01,0.5
573959707,0.01,0.01062460088025885,precision,3.486072063446045,0.01,0.5
573959707,0.02,0.009929821796798244,precision,5.701595067977905,0.01,0.5
573959707,0.03,0.010539093581400039,precision,6.069860935211182,0.01,0.5
573959707,0.04,0.010542955122556208,precision,6.146407127380371,0.01,0.5
573959707,0.05,0.010836943702708268,precision,8.7950758934021,0.01,0.5
573959707,0.06,0.009813237851366896,precision,11.729644060134888,0.01,0.5
573959707,0.07,0.010314067416620443,precision,9.16745901107788,0.01,0.5
573959707,0.08,0.009521663129127056,precision,8.619131803512573,0.01,0.5
573959707,0.09,0.010086585846387663,precision,9.021535873413086,0.01,0.5
573959707,0.1,0.010609415038920211,precision,9.382773876190186,0.01,0.5
1746243620,0.01,0.01110491973626715,precision,119.8251519203186,0.01,0.5
1746243620,0.02,0.010572165422107371,precision,200.71655583381653,0.01,0.5
1746243620,0.03,0.010836122238802925,precision,333.8493800163269,0.01,0.5
1746243620,0.04,0.01524183629023268,max_time,600.2249159812927,0.01,0.5
1746243620,0.05,0.027329524380388825,max_time,602.2019109725952,0.01,0.5
1746243620,0.06,0.04282482492014861,max_time,610.9746739864349,0.01,0.5
1746243620,0.07,0.03204960894685627,max_time,601.3863110542297,0.01,0.5
1746243620,0.08,0.028018866852623336,max_time,601.238765001297,0.01,0.5
1746243620,0.09,0.030433360473985704,max_time,600.3604362010956,0.01,0.5
1746243620,0.1,0.023144689765659088,max_time,601.2368190288544,0.01,0.5
1883563502,0.01,1.7110822225774314e-07,precision,0.14730191230773926,0.01,0.5
1883563502,0.02,1.7110822225774314e-07,precision,0.10042905807495117,0.01,0.5
1883563502,0.03,1.7110822225774314e-07,precision,0.12110090255737305,0.01,0.5
1883563502,0.04,1.7110822225774314e-07,precision,0.11476612091064453,0.01,0.5
1883563502,0.05,1.7110822225774314e-07,precision,0.1704120635986328,0.01,0.5
1883563502,0.06,1.7110822225774314e-07,precision,0.2159252166748047,0.01,0.5
1883563502,0.07,1.7110822225774314e-07,precision,0.15166115760803223,0.01,0.5
1883563502,0.08,1.7110822225774314e-07,precision,0.11015105247497559,0.01,0.5
1883563502,0.09,1.7110822225774314e-07,precision,0.11067891120910645,0.01,0.5
1883563502,0.1,1.7110822225774314e-07,precision,0.1131598949432373,0.01,0.5
130457002,0.01,0.010892907221384363,precision,158.11842703819275,0.01,0.5
130457002,0.02,0.010804280352726181,precision,591.3305380344391,0.01,0.5
130457002,0.03,0.025337244849821694,max_time,601.6367650032043,0.01,0.5
130457002,0.04,0.02152368342893496,max_time,600.442095041275,0.01,0.5
130457002,0.05,0.03225817176462975,max_time,601.5433430671692,0.01,0.5
130457002,0.06,0.03930353410636522,max_time,600.7096681594849,0.01,0.5
130457002,0.07,0.053169558009908524,max_time,604.6430280208588,0.01,0.5
130457002,0.08,0.05421183968894816,max_time,600.6100671291351,0.01,0.5
130457002,0.09,0.05624319307260972,max_time,603.3405659198761,0.01,0.5
130457002,0.1,0.06737523665280243,max_time,602.1711461544037,0.01,0.5
1267533685,0.01,0.021113209311917736,max_time,602.2361369132996,0.01,0.5
1267533685,0.02,0.030547286971862597,max_time,600.2585401535034,0.01,0.5
1267533685,0.03,0.03719620262473944,max_time,601.0197818279266,0.01,0.5
1267533685,0.04,0.039017249734779824,max_time,609.7673819065094,0.01,0.5
1267533685,0.05,0.041940887987121034,max_time,603.7774209976196,0.01,0.5
1267533685,0.06,0.04710120319459721,max_time,605.8993530273438,0.01,0.5
1267533685,0.07,0.0507351051761189,max_time,602.2488670349121,0.01,0.5
1267533685,0.08,0.048192227681702615,max_time,601.7473039627075,0.01,0.5
1267533685,0.09,0.05367868313113178,max_time,611.9807131290436,0.01,0.5
1267533685,0.1,0.05568900904902696,max_time,609.6560649871826,0.01,0.5
753055371,0.01,0.010957522050230262,precision,26.78881001472473,0.01,0.5
753055371,0.02,0.011104056907693893,precision,144.92682909965515,0.01,0.5
753055371,0.03,0.010598871948736655,precision,239.63359904289246,0.01,0.5
753055371,0.04,0.011100994571547007,precision,344.59569692611694,0.01,0.5
753055371,0.05,0.010560282438064839,precision,585.1672508716583,0.01,0.5
753055371,0.06,0.013789572017139484,max_time,600.2804319858551,0.01,0.5
753055371,0.07,0.020178028993949937,max_time,603.5363729000092,0.01,0.5
753055371,0.08,0.022053791827340907,max_time,600.4074110984802,0.01,0.5
753055371,0.09,0.027345631877224497,max_time,601.6772201061249,0.01,0.5
753055371,0.1,0.03246545727980288,max_time,600.9452719688416,0.01,0.5
1008468227,0.01,0.011044482903687536,precision,0.3139770030975342,0.01,0.5
1008468227,0.02,0.011109939037559746,precision,0.5602960586547852,0.01,0.5
1008468227,0.03,0.011028999252133742,precision,0.9914228916168213,0.01,0.5
1008468227,0.04,0.010666190913223517,precision,0.9153919219970703,0.01,0.5
1008468227,0.05,0.01023012791468747,precision,1.5429000854492188,0.01,0.5
1008468227,0.06,0.010463947751718106,precision,1.4228739738464355,0.01,0.5
1008468227,0.07,0.010479897564812823,precision,1.173327922821045,0.01,0.5
