mdp_seed,epsilon,delta_w,delta_w_lower,delta_w_upper,unrestricted_policy_value,restricted_policy_value,violation_count
826965060,0.1,0.029375264756321684,0.02890520325082724,0.029845326261816574,2.6338099285504457,2.604434663794124,79
82613462,0.01,0.0,0.0,0.0,2.6886488777372204,2.6886488777372204,0
82613462,0.02,0.0,0.0,0.0,2.6851283431862276,2.6851283431862276,0
82613462,0.03,0.0,0.0,0.0,2.681591352506765,2.681591352506765,0
82613462,0.04,0.0,0.0,0.0,2.678037613702961,2.678037613702961,0
82613462,0.05,0.0,0.0,0.0,2.6744668286098228,2.6744668286098228,0
82613462,0.06,0.0,0.0,0.0,2.6708786927277384,2.6708786927277384,0
82613462,0.07,0.0,0.0,0.0,2.6672728950516555,2.6672728950516555,0
82613462,0.08,0.0,0.0,0.0,2.663649117894664,2.663649117894664,0
82613462,0.09,0.0,0.0,0.0,2.660007036705835,2.660007036705835,0
82613462,0.1,0.0,0.0,0.0,2.6563463198820787,2.6563463198820787,0
1690525620,0.01,0.0,0.0,0.0,2.847523018437024,2.847523018437024,0
1690525620,0.02,0.0,0.0,0.0,2.8404769383790716,2.8404769383790716,0
1690525620,0.03,0.0,0.0,0.0,2.8334476731778344,2.8334476731778344,0
1690525620,0.04,0.031051255881534345,0.030581194376041676,0.031521317387027015,2.8285481221668585,2.797496866285324,87
1690525620,0.05,0.03319384385029922,0.03272378234480655,0.03366390535579278,2.8237894375270036,2.7905955936767044,90
1690525620,0.06,0.03525810032036958,0.03478803881487558,0.03572816182586358,2.8189680403555695,2.7837099400352,87
1690525620,0.07,0.04050793443395717,0.040037872928464946,0.04097799593944984,2.814187879116117,2.7736799446821596,142
1690525620,0.08,0.039159639137789526,0.03868957763229686,0.03962970064328264,2.809422252909717,2.7702626137719273,72
1690525620,0.09,0.04098462392267921,0.04051456241718476,0.04145468542817188,2.8045949569284745,2.7636103330057953,72
1690525620,0.1,0.04670548916274875,0.046235427657255634,0.04717555066824186,2.799706760176539,2.7530012710137903,141
1832511702,0.01,0.0,0.0,0.0,3.285837462893359,3.285837462893359,0
1832511702,0.02,0.0,0.0,0.0,3.2843695790508742,3.2843695790508742,0
1832511702,0.03,0.0,0.0,0.0,3.282886614777215,3.282886614777215,0
1832511702,0.04,0.0,0.0,0.0,3.281388336477421,3.281388336477421,0
1832511702,0.05,0.0,0.0,0.0,3.2798745057069967,3.2798745057069967,0
1832511702,0.06,0.0,0.0,0.0,3.2783448790454166,3.2783448790454166,0
1832511702,0.07,0.0,0.0,0.0,3.276799207965629,3.276799207965629,0
1832511702,0.08,0.0,0.0,0.0,3.2752372386994466,3.2752372386994466,0
1832511702,0.09,0.0,0.0,0.0,3.2736587120986584,3.2736587120986584,0
1832511702,0.1,0.0,0.0,0.0,3.272063363491685,3.272063363491685,0
978475358,0.01,0.0,0.0,0.0,3.2091613975992184,3.2091613975992184,0
978475358,0.02,0.0,0.0,0.0,3.196161206974517,3.196161206974517,0
978475358,0.03,0.0,0.0,0.0,3.1831539204834076,3.1831539204834076,0
978475358,0.04,0.0,0.0,0.0,3.1701391912604935,3.1701391912604935,0
978475358,0.05,0.0,0.0,0.0,3.157116670766603,3.157116670766603,0
978475358,0.06,0.0,0.0,0.0,3.144086008793969,3.144086008793969,0
978475358,0.07,0.035088011001283004,0.03461794949579078,0.03555807250677567,3.132470542052531,3.097382531051248,88
978475358,0.08,0.03774369186596793,0.03727363036047615,0.038213753371461046,3.122132342094355,3.0843886502283873,85
978475358,0.09,0.047708777443402184,0.04723871593790818,0.0481788389488953,3.111832443867156,3.064123666423754,170
978475358,0.1,0.050800564708141316,0.050330503202648647,0.05127062621363532,3.1016258413054536,3.0508252765973123,172
1823514311,0.01,0.0,0.0,0.0,3.8981196459662066,3.8981196459662066,0
1823514311,0.02,0.0,0.0,0.0,3.8901899462665517,3.8901899462665517,0
1823514311,0.03,0.0,0.0,0.0,3.8822620226836317,3.8822620226836317,0
